e_gen_nom,e_gen_net,e_consume,ratio,energy_positive,mfc_factor,dc_dc_rel,cap_leak,pkt_loss,sensor_aging
0.5024591144157391,0.48017810925246696,0.39118707797600905,1.2274897006744063,True,1.0548490743557977,0.9923598049690066,0.0443439167964553,0.0348684014529682,0.85
0.37948752442822914,0.363760585293909,0.4026073284622982,0.9035120813206285,False,0.7656076887647827,1.032642462748794,0.04144257221107815,0.006405681633777294,0.9317564857941136
0.5856390840419713,0.564699790034727,0.4209084765715281,1.3416213297352386,True,1.1582916354753092,1.0533456236060752,0.035754604803226585,0.0411380806635415,1.0374007473801636
0.4085256520302737,0.40339755606354133,0.414424040246583,0.9733932322640334,False,0.8453273566810171,1.0068230983769793,0.012552690244167013,0.04138155859962911,0.9960059271210998
0.4555898907498341,0.4333443835669296,0.40983541266581414,1.0573619803818297,True,0.9667247745618531,0.9818157460162336,0.048827920975796135,0.04465605606610989,0.9657337742269514
0.44770548289347334,0.44244398061996565,0.41879137321830795,1.05647825842231,True,0.9366159609121187,0.9958401254658793,0.011752150631489152,0.007714474603377392,1.0344656802406307
0.7039023405072546,0.6876893478145797,0.42165174399787436,1.630941547387615,True,1.3854965681566829,1.0584387165542763,0.023033014325526076,0.018522985301743445,1.0492783538060397
0.5508261660518458,0.534836675563927,0.42173060393664474,1.2681950765998329,True,1.2032150126897605,0.953740188166934,0.02902819704903735,0.011345467452544207,1.052047423025976
0.5668483082898427,0.5453020616699686,0.4054184370603937,1.3450351829676088,True,1.1337857508166196,1.0415847745072297,0.038010604080089966,0.015618332069102054,0.9467592234169044
0.49302531083607704,0.4824089356051969,0.4174985106928258,1.155474626255922,True,1.0417890381520096,0.9859347973787718,0.021533124157209767,0.03412477519874878,1.0178876439019746
0.5054877169176044,0.48452161546961386,0.3963526176731832,1.222450903223582,True,1.122204441352941,0.9384202837188756,0.041476975100085536,0.03324254282960161,0.8834275344115466
0.45005719463430255,0.4353179800030188,0.4321157041121704,1.0074106908413056,True,0.9424591810556857,0.9948644719422925,0.03274964783811575,0.006989849906382873,1.1195953048987517
0.40372824265678653,0.3905628890319861,0.4169390644516833,0.936738536470828,False,0.8441503991752162,0.9963870257678915,0.032609444259247555,0.03824994287080128,1.0130202452084005
0.5345768915200642,0.5227317346608823,0.40727144736679716,1.2834971320493753,True,1.1055200196446702,1.0074008950931768,0.02215800392250449,0.0015408917283969703,0.9630118565868346
0.5477932484149866,0.5236157782623206,0.4020357947047668,1.3024108429122228,True,1.1544356586262876,0.9885660804655795,0.04413612293072665,0.011696974293267038,0.9264438171198711
0.5094620492778128,0.490878575023291,0.41637082320290797,1.178945660138327,True,1.0894889339296776,0.9741992197208355,0.0364766605890758,0.027851607617063918,1.0126831752861372
0.5278017361386741,0.5053380638861271,0.4088555452411375,1.2359819250784174,True,1.1126062709141207,0.9882983576800088,0.04256081538664139,0.008348645995385196,0.9709556922747943
0.45944267070009015,0.44635999966499895,0.41355649762789515,1.0793204851701286,True,0.9312871790803008,1.0277949188245563,0.028475089210055496,0.00806358895168009,1.000999529498215
0.5343350417695875,0.5194558140661071,0.40862957563089025,1.2712144324455965,True,1.0865343986030636,1.024540046884717,0.027846251022961226,0.019051061304824125,0.9661361350364677
0.4649400765666209,0.4586605973930392,0.40077178525555246,1.144443332258467,True,0.9856507220368482,0.9827265763191738,0.01350599677264404,0.005900295106025766,0.9202202537918814
0.5273851690794457,0.5165026824055522,0.41092865365359726,1.2569157147190597,True,1.0719593608102187,1.0249633917263437,0.020634798458380784,0.0484588188673862,0.971498882315086
0.54027969109443,0.528993430706015,0.4089822287296696,1.2934386717709214,True,1.1327528023240756,0.9936701877679736,0.020889662473806362,0.004819548107674965,0.972877353927955
0.5320432749090983,0.5202115555882775,0.4069756345680736,1.2782375931187675,True,1.1512554647423312,0.9627954205994038,0.0222382649660261,0.0289609784470948,0.9524680035442564
0.3665343638473351,0.35232070433401375,0.41434508461003855,0.8503074307388028,False,0.7397095862100782,1.0323149412294013,0.03877851823803747,0.021604651988755188,1.0017481716418755
0.6299767204351285,0.6215490349711341,0.4167924731091811,1.4912674174140277,True,1.2883202004377647,1.0187308251943525,0.013377772845595564,0.020790370108530482,1.0175997347177412
0.5847279735570924,0.5755004003780965,0.3983310746543822,1.4447790719753355,True,1.2446537635432786,0.9787326515415982,0.015780967554641877,0.0051701483861275824,0.9048989556541719
0.4472953852018191,0.43242619269747706,0.4218339905430815,1.0251098830152563,True,0.8848447241050454,1.0531400147970997,0.0332424455880158,0.017343490226741854,1.0508120757451525
0.4872129673015758,0.4729414580824521,0.42546246457835374,1.1115938477702174,True,0.9599999145222208,1.0573199016551806,0.02929213747771601,0.039136761362514316,1.0670501254315505
0.6517595678837924,0.6207924776031751,0.3908757421137879,1.5882092714324956,True,1.3594115605045216,0.9988383742943151,0.047513058198999314,0.02858640261880377,0.85
0.4925374283587856,0.47735402822996886,0.4123199648615009,1.1577271752783376,True,1.0481880632218905,0.978946124667819,0.03082689609886151,0.021945573015252337,0.9887367290866892
0.6004311734011818,0.5910584646641347,0.39334692225633755,1.5026390985181064,True,1.1918764415417757,1.049520096479971,0.015609963559944432,0.027701807176952472,0.8660253644236514
0.42600601129090176,0.4105092309235914,0.41643711532619926,0.9857652351713067,False,0.9124645763668005,0.972654222979876,0.03637690538767607,0.03634973071434413,1.010421961717831
0.5942847822551682,0.5828694275745743,0.40398735002874525,1.4427912842644723,True,1.1768931119841504,1.052001480642201,0.019208559635795232,0.001870627808808989,0.9419819148371398
0.691268202322652,0.6620067786146844,0.4254819556676533,1.555898598745236,True,1.3831245518383297,1.0412237178915515,0.042330058882572075,0.015856944641135767,1.0745258410299394
0.5142257907950503,0.5038185788425776,0.4209200416706291,1.1969460442960254,True,1.0692911738990554,1.0018821411539642,0.02023860362270411,0.046802178502448166,1.0356857761185665
0.43711417236639993,0.41539177370837965,0.4350353828082639,0.954845950752144,False,0.9181029735386597,0.9918871325003797,0.04969502256223349,0.0445838633127457,1.126327300512835
0.5181099139522122,0.5021757883945617,0.4165372633715602,1.2055963116716644,True,1.0287984904432188,1.049180829962233,0.03075433441545796,0.01579645259153965,1.0175506001091086
0.4374760597681884,0.43144822294158724,0.41715108966313136,1.0342732732401623,True,0.9260330984499273,0.9842072161092138,0.01377866672246061,0.0373394805674513,1.0146587549777526
0.3620895840591569,0.3566907134710919,0.4128055975749198,0.8640646240422075,False,0.77959557429031,0.9676213218757106,0.014910317296459441,0.04155563360624531,0.985638462937392
0.45244429490808247,0.4320922277221984,0.4022532884332465,1.0741794788183656,True,0.9310262821955222,1.0124228489401055,0.044982481633498585,0.009821733285728662,0.9284218384835339
0.5671712373139273,0.5501392850146909,0.4175948939864023,1.3173994532428466,True,1.1157988230440279,1.058978303257621,0.030029647448093694,0.007194875127562539,1.0270059639039146
0.5739191675424912,0.5526231237935527,0.41269023166655644,1.339074883265128,True,1.253346735036469,0.9539777772233151,0.0371063469445143,0.0060916252314265566,0.9961025278455906
0.41127318141250935,0.4038739548853047,0.4264919601756678,0.9469673349034599,False,0.8482185513472832,1.0101395761526129,0.017991026066402308,0.040206226309113136,1.073272203388481
0.34854824724602956,0.343337397919475,0.4092196559320043,0.8390051478282943,False,0.7612493108068785,0.9538822189446642,0.014950152146013786,0.04637812755032539,0.9612664453333137
0.45104448694101396,0.43457479212130345,0.413428184726844,1.0511494091977092,True,0.9410188430148471,0.9985730056689417,0.0365145685105433,0.0477811628523485,0.987639545660008
